I, [2016-12-21T11:58:27.470043 #17617]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.0)
E, [2016-12-21T11:58:27.470290 #17617] ERROR -- Kitchen: ------Exception-------
E, [2016-12-21T11:58:27.470322 #17617] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-12-21T11:58:27.470336 #17617] ERROR -- Kitchen: Message: Kitchen YAML file /Users/cperon/work/cookbooks/waf_testbed/templates/default/.kitchen.yml does not exist.
E, [2016-12-21T11:58:27.470347 #17617] ERROR -- Kitchen: ----------------------
E, [2016-12-21T11:58:27.470367 #17617] ERROR -- Kitchen: ------Backtrace-------
E, [2016-12-21T11:58:27.470377 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-12-21T11:58:27.470386 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:154:in `data'
E, [2016-12-21T11:58:27.470408 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:133:in `suites'
E, [2016-12-21T11:58:27.470427 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-12-21T11:58:27.470436 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-12-21T11:58:27.470444 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:119:in `instances'
E, [2016-12-21T11:58:27.470455 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-12-21T11:58:27.470464 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-12-21T11:58:27.470473 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-12-21T11:58:27.470482 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-12-21T11:58:27.470490 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-12-21T11:58:27.470499 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-12-21T11:58:27.470507 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-12-21T11:58:27.470516 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-12-21T11:58:27.470524 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-12-21T11:58:27.470535 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-12-21T11:58:27.470561 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-12-21T11:58:27.470571 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-12-21T11:58:27.470579 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-12-21T11:58:27.470588 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-12-21T11:58:27.470597 #17617] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `<top (required)>'
E, [2016-12-21T11:58:27.470605 #17617] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `load'
E, [2016-12-21T11:58:27.470614 #17617] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `<main>'
E, [2016-12-21T11:58:27.470629 #17617] ERROR -- Kitchen: ----End Backtrace-----
